NOC;Edition;Sport;Bronze;Gold;Silver
USA;1904;Athletics;22;23;23
USA;1904;Gymnastics;9;12;8
USA;1904;Wrestling;7;7;7
USA;1904;Cycling;7;7;7
USA;1904;Aquatics;7;5;7
USA;1904;Archery;5;6;6
USA;1904;Tennis;4;2;2
USA;1904;Rowing;4;5;4
USA;1904;Boxing;4;7;7
USA;1904;Weightlifting;2;1;2
USA;1904;Golf;2;1;2
USA;1904;Tug of War;1;1;1
USA;1904;Roque;1;1;1
USA;1904;Football;1;1;1
USA;1904;Fencing;1;;3
USA;1904;Lacrosse;;;1
USA;1992;Athletics;10;12;8
USA;1992;Aquatics;8;14;10
USA;1992;Gymnastics;3;1;2
USA;1992;Wrestling;2;3;3
USA;1992;Volleyball;2;;
USA;1992;Sailing;2;1;6
USA;1992;Equestrian;2;;
USA;1992;Cycling;2;;
USA;1992;Canoe / Kayak;2;1;
USA;1992;Tennis;1;2;
USA;1992;Rowing;1;;2
USA;1992;Boxing;1;1;1
USA;1992;Basketball;1;1;
USA;1992;Shooting;;1;1
USA;1992;Judo;;;1
USA;2008;Aquatics;10;12;11
USA;2008;Athletics;7;7;9
USA;2008;Cycling;3;1;1
USA;2008;Wrestling;2;1;
USA;2008;Taekwondo;2;;1
USA;2008;Shooting;2;2;2
USA;2008;Gymnastics;2;2;6
USA;2008;Fencing;2;1;3
USA;2008;Tennis;1;1;
USA;2008;Rowing;1;1;1
USA;2008;Judo;1;;
USA;2008;Equestrian;1;1;1
USA;2008;Boxing;1;;
USA;2008;Baseball;1;;
USA;2008;Volleyball;;3;1
USA;2008;Softball;;;1
USA;2008;Sailing;;1;1
USA;2008;Football;;1;
USA;2008;Basketball;;2;
USA;1968;Aquatics;20;23;15
USA;1968;Athletics;7;15;6
USA;1968;Boxing;4;2;1
USA;1968;Weightlifting;1;;
USA;1968;Rowing;1;;1
USA;1968;Equestrian;1;1;1
USA;1968;Wrestling;;;2
USA;1968;Shooting;;1;2
USA;1968;Sailing;;2;
USA;1968;Basketball;;1;
USA;2000;Aquatics;11;15;9
USA;2000;Athletics;5;7;4
USA;2000;Wrestling;3;2;2
USA;2000;Shooting;2;1;
USA;2000;Rowing;2;;1
USA;2000;Equestrian;2;1;
USA;2000;Boxing;2;;2
USA;2000;Weightlifting;1;1;
USA;2000;Tennis;1;2;
USA;2000;Sailing;1;1;2
USA;2000;Gymnastics;1;;
USA;2000;Cycling;1;1;1
USA;2000;Archery;1;;1
USA;2000;Volleyball;;1;
USA;2000;Taekwondo;;1;
USA;2000;Softball;;1;
USA;2000;Modern Pentathlon;;;1
USA;2000;Football;;;1
USA;2000;Basketball;;2;
USA;2000;Baseball;;1;
USA;1984;Athletics;9;16;15
USA;1984;Gymnastics;6;5;5
USA;1984;Aquatics;3;25;17
USA;1984;Shooting;2;3;1
USA;1984;Cycling;2;4;3
USA;1984;Wrestling;1;9;3
USA;1984;Weightlifting;1;;1
